Trans. Date,Post Date,Description,Amount,Category
09/09/2023,09/09/2023,"PUBLIX #530 GREENVILLE SC",14.72,"Supermarkets"
09/12/2023,09/12/2023,"CHINA EXPRESS CLEMSON SC",11.94,"Restaurants"
09/14/2023,09/14/2023,"MURPHY6940ATWALMART CENTRAL SC",36.49,"Gasoline"
09/14/2023,09/14/2023,"PUBLIX SUPERMARKETS #137 CLEMSON SC",17.93,"Supermarkets"
09/14/2023,09/14/2023,"WALMART STORE 03222 CENTRAL SC",10.01,"Merchandise"
09/15/2023,09/15/2023,"JOY OF TOK* JOY OF TOK 8887072469 SC",12.33,"Restaurants"
09/15/2023,09/15/2023,"LS GOTTA RUN CLEMSON, 8642472527 SC",39.99,"Merchandise"
09/15/2023,09/17/2023,"AMAZON PRIME AMZN.COM/BILLWA3YVV7CLLD4W",-16.19,"Payments and Credits"
09/16/2023,09/16/2023,"CIRCLE K # 23439 CAMPOBELLO SC650739",6.28,"Gasoline"
09/17/2023,09/17/2023,"7-ELEVEN 42195 FOUNTAIN INN SC",2.99,"Gasoline"
09/17/2023,09/17/2023,"7-ELEVEN 42195 FOUNTAIN INN SC",35.34,"Gasoline"
09/17/2023,09/17/2023,"WALMART SC 03222 CENTRAL SC",60.31,"Merchandise"
09/18/2023,09/18/2023,"MARCOS PIZZA 8527 CLEMSON SC",13.07,"Restaurants"
09/20/2023,09/20/2023,"FOOD LION #2861 PENDLETON SC02015R",12.87,"Supermarkets"
09/21/2023,09/21/2023,"SPOTIFY P25F35C329 8777781161 NY",16.19,"Merchandise"
09/22/2023,09/22/2023,"DODGE STORE #8707 EASLEY SCL14884001",38.92,"Gasoline"
09/22/2023,09/22/2023,"JOY OF TOK* JOY OF TOK 8887072469 SC",12.33,"Restaurants"
09/23/2023,09/23/2023,"CHICK-FIL-A #04395 ANDERSON SC",16.24,"Restaurants"
09/24/2023,09/24/2023,"PUBLIX SUPERMARKETS #137 CLEMSON SC",47.93,"Supermarkets"
09/26/2023,09/26/2023,"WALMART SC 00396 ANDERSON SC",17.90,"Merchandise"
09/26/2023,09/28/2023,"CHINA EXPRESS CLEMSON SC",11.94,"Restaurants"
09/27/2023,09/28/2023,"JOY OF TOK* JOY OF TOK 8887072469 SC",12.33,"Restaurants"
09/27/2023,09/28/2023,"WALMART STORE 03222 CENTRAL SC",36.88,"Merchandise"
09/28/2023,09/28/2023,"AUTOMATIC STATEMENT CREDIT",-20.67,"Awards and Rebate Credits"
09/28/2023,09/28/2023,"FOOD LION #2861 PENDLETON SC02878R",4.99,"Supermarkets"
09/29/2023,09/29/2023,"INGLES GAS EXP #53 CLEMSON SC",36.27,"Gasoline"
09/29/2023,09/29/2023,"JOY OF TOK* JOY OF TOK 8887072469 SC",12.33,"Restaurants"
09/29/2023,09/29/2023,"WALMART SC 03222 CENTRAL SC",6.00,"Merchandise"
09/30/2023,09/30/2023,"BOJANGLES 2016 SIMPSONVILLE SC",7.23,"Restaurants"
09/30/2023,09/30/2023,"JOY OF TOK* JOY OF TOK 8887072469 SC",12.33,"Restaurants"
10/02/2023,10/02/2023,"CU PARKING SVCS ONLINE 864-656-0530 SC",4.00,"Education"
10/02/2023,10/02/2023,"INTERNET PAYMENT - THANK YOU",-698.46,"Payments and Credits"
10/03/2023,10/03/2023,"INGLES GAS EXPRESS #239 ANDERSON SC",35.33,"Gasoline"
10/03/2023,10/03/2023,"INGLES MARKETS #239 ANDERSON SC",36.70,"Supermarkets"
10/04/2023,10/04/2023,"DOMINO'S 5620 CLEMSON SC",11.43,"Restaurants"
10/06/2023,10/06/2023,"CHICK-FIL-A #04395 ANDERSON SC",12.37,"Restaurants"
10/08/2023,10/08/2023,"PAR*SMOOTHIE KING SK1213 CLEMSON SC",8.18,"Restaurants"
10/08/2023,10/08/2023,"WALMART SC 03222 CENTRAL SC",65.56,"Merchandise"
10/09/2023,10/09/2023,"MARCOS PIZZA 8527 CLEMSON SC",10.89,"Restaurants"
10/10/2023,10/10/2023,"QT 1109 ANDERSON SC01109036X5ZZ77N",33.42,"Gasoline"
10/11/2023,10/11/2023,"7009 GREAT CLIPS AT CLEM CLEMSON SC",17.00,"Services"
10/11/2023,10/11/2023,"CHINA EXPRESS CLEMSON SC",11.94,"Restaurants"
10/11/2023,10/11/2023,"VIOC GO0016 CLEMSON SC",52.09,"Automotive"
10/12/2023,10/12/2023,"DUNKIN #364465 PENDLETON SC",17.26,"Restaurants"
10/13/2023,10/13/2023,"JOY OF TOK* JOY OF TOK 8887072469 SC",12.33,"Restaurants"
10/14/2023,10/14/2023,"PAPA JOHN'S #0345 CLEMSON SC",12.36,"Restaurants"
10/15/2023,10/15/2023,"WALMART SC 03222 CENTRAL SC",42.83,"Merchandise"
10/16/2023,10/16/2023,"DODGE STORE #8707 EASLEY SCL14884001",34.76,"Gasoline"
10/16/2023,10/16/2023,"LS GOTTA RUN CLEMSON, 8649860803 SC",7.69,"Merchandise"
10/19/2023,10/19/2023,"CLEMSON SC DENTAL ASSOCI CLEMSON SC",5.00,"Medical Services"
10/19/2023,10/19/2023,"PAR*SMOOTHIE KING SK1213 CLEMSON SC",9.82,"Restaurants"
10/20/2023,10/20/2023,"PUBLIX SUPERMARKETS #137 CLEMSON SC",20.98,"Supermarkets"
10/21/2023,10/21/2023,"SPOTIFY P26A56671B 8777781161 NY",16.19,"Merchandise"
10/22/2023,10/22/2023,"CIRCLE K # 23439 CAMPOBELLO SC706650",16.91,"Gasoline"
10/23/2023,10/23/2023,"WALMART STORE 00396 ANDERSON SC",63.80,"Merchandise"
10/24/2023,10/24/2023,"ACADEMY SPORTS# 154 ANDERSON SC",150.59,"Merchandise"
10/24/2023,10/24/2023,"QT 1127 PENDLETON SC0112703VWCJFW9N",34.64,"Gasoline"
10/24/2023,10/25/2023,"SAINTSTV 02035987963 GBR-10.00 @ 00000001.2256104 GBP",-12.26,"Payments and Credits"
10/25/2023,10/25/2023,"CHINA EXPRESS CLEMSON SC",11.94,"Restaurants"
10/27/2023,10/28/2023,"AUTOZONE #0414 COLUMBIA SC",56.69,"Automotive"
10/27/2023,10/28/2023,"ZAXBY'S #54001 FOUNTAIN INN SC02788R",10.03,"Restaurants"
10/28/2023,10/28/2023,"AUTOMATIC STATEMENT CREDIT",-10.28,"Awards and Rebate Credits"
10/28/2023,10/28/2023,"INTERNET PAYMENT - THANK YOU",-150.59,"Payments and Credits"
10/28/2023,10/28/2023,"WALMART SC 02214 COLUMBIA (E) SC",45.13,"Merchandise"
10/30/2023,10/30/2023,"ARAMARK RAISING CANES CLEMSON SC",10.69,"Restaurants"
10/30/2023,10/30/2023,"ONE9 00061 CLINTON SC",35.36,"Gasoline"
10/31/2023,10/31/2023,"ITSURWIENER CLEMSON SC",25.75,"Restaurants"
10/31/2023,10/31/2023,"SUNOCO 0279740500 CLEMSON SC",11.76,"Gasoline"
10/31/2023,10/31/2023,"TIGER TOWN TAVERN CLEMSON SC",16.60,"Restaurants"
11/01/2023,11/01/2023,"CHICK-FIL-A #04395 ANDERSON SC",24.74,"Restaurants"
11/01/2023,11/01/2023,"INTERNET PAYMENT - THANK YOU",-500.00,"Payments and Credits"
11/01/2023,11/01/2023,"QT 1109 ANDERSON SC0110901WMUGHPAP",17.38,"Gasoline"
11/01/2023,11/01/2023,"SHELL57542936307 JOELTON TN",35.53,"Gasoline"
11/02/2023,11/02/2023,"CENEX JJ TRAVEL PLAZA OAKLEY KS",6.50,"Gasoline"
11/02/2023,11/02/2023,"FUELNTREAT NELSON MO",6.53,"Supermarkets"
11/02/2023,11/02/2023,"FUELNTREAT NELSON MO",15.17,"Gasoline"
11/02/2023,11/02/2023,"HUCK'S FOOD & FUEL STO ST. CHARLES MO",33.65,"Gasoline"
11/02/2023,11/02/2023,"SHELL12670598007 BUNKER HILL KS",31.77,"Gasoline"
11/02/2023,11/02/2023,"SHELL57444234504 LIMON CO",20.00,"Gasoline"
11/03/2023,11/03/2023,"INTERNET PAYMENT - THANK YOU",-302.12,"Payments and Credits"
11/03/2023,11/03/2023,"MATTRESS FIRM 003062 BOULDER CO",489.61,"Merchandise"
11/03/2023,11/03/2023,"TARGET 00000646091 BOULDER CO",32.96,"Supermarkets"
11/03/2023,11/03/2023,"TARGET 00000646091 BOULDER CO",65.60,"Supermarkets"
11/05/2023,11/05/2023,"BEST BUY 00002170295 AURORA CO",287.26,"Merchandise"
11/05/2023,11/05/2023,"SAFEWAY #1615 BOULDER CO",58.70,"Supermarkets"
11/08/2023,11/08/2023,"BEST BUY 00010314295 BOULDER CO",43.60,"Merchandise"
11/10/2023,11/10/2023,"BEST BUY MH00010793295 LONGMONT CO",43.47,"Merchandise"
11/10/2023,11/12/2023,"BEST BUY MH00010793295 LONGMONT CO",-43.60,"Payments and Credits"
11/17/2023,11/17/2023,"KING SOOPERS #0061 BOULDER CO",71.61,"Supermarkets"
11/19/2023,11/19/2023,"INTERNET PAYMENT - THANK YOU",-200.00,"Payments and Credits"
11/20/2023,11/20/2023,"NATURAL GROCERS BD BOULDER CO",5.87,"Supermarkets"
11/21/2023,11/21/2023,"SPOTIFY P275A880D3 8777781161 NY",16.19,"Merchandise"
11/22/2023,11/22/2023,"SAFEWAY #1615 BOULDER CO",40.76,"Supermarkets"
11/24/2023,11/24/2023,"FSP*FLEET FEET BOULDER C BOULDER CO",11.67,"Merchandise"
11/24/2023,11/28/2023,"TIKTOK SHOP SHOP.TIKTOK.CCA",5.95,"Merchandise"
11/26/2023,11/28/2023,"SAFEWAY #1615 BOULDER CO",66.38,"Supermarkets"
11/28/2023,11/28/2023,"A         S         C",-19.25,"Awards and Rebate Credits"
11/30/2023,11/30/2023,"INTERNET PAYMENT - THANK YOU",-700.00,"Payments and Credits"
11/30/2023,11/30/2023,"SAFEWAY #1615 BOULDER CO",22.11,"Supermarkets"
12/02/2023,12/02/2023,"VALVE BELLEVUE WA",29.99,"Merchandise"
12/03/2023,12/03/2023,"SAFEWAY #1615 BOULDER CO",56.64,"Supermarkets"
12/03/2023,12/03/2023,"VALVE BELLEVUE WA",9.99,"Merchandise"
12/04/2023,12/04/2023,"7-ELEVEN 13164 BOULDER CO",6.80,"Gasoline"
12/05/2023,12/05/2023,"FSP*FLEET FEET BOULDER C BOULDER CO",78.92,"Merchandise"
12/07/2023,12/07/2023,"FSP*FLEET FEET BOULDER C BOULDER CO",8.17,"Merchandise"
12/07/2023,12/07/2023,"SAFEWAY #1615 BOULDER CO",41.22,"Supermarkets"
12/09/2023,12/09/2023,"7-ELEVEN 13164 BOULDER CO",4.30,"Gasoline"
12/11/2023,12/11/2023,"STEAM PURCHASE 425-952-2985 WA",4.99,"Travel/ Entertainment"
12/12/2023,12/12/2023,"FEDEX OFFIC00004028069 BOULDER CO",5.62,"Services"
12/12/2023,12/12/2023,"SAFEWAY #1615 BOULDER CO",59.30,"Supermarkets"
12/13/2023,12/13/2023,"FSP*FLEET FEET BOULDER C BOULDER CO",59.87,"Merchandise"
12/14/2023,12/14/2023,"CIRCLE K 09866 BOULDER CO275599",38.48,"Gasoline"
12/14/2023,12/14/2023,"DISCOUNT-TIRE-CO COB-01 BOULDER CO",354.90,"Automotive"
12/14/2023,12/14/2023,"REI #44 BOULDER BOULDER CO5003830440301151",77.31,"Merchandise"
12/16/2023,12/16/2023,"O'REILLY 2636 BOULDER CO",80.68,"Automotive"
12/16/2023,12/16/2023,"SAFEWAY #1615 BOULDER CO",32.54,"Supermarkets"
12/17/2023,12/17/2023,"DOWNIEVILLE FUEL STOP DUMONT CO",4.73,"Gasoline"
12/19/2023,12/19/2023,"PANERA BREAD #202439 O 303-544-1800 CO1027556129",3.21,"Restaurants"
12/19/2023,12/19/2023,"ROCKET 6505 BOULDER CO",18.67,"Gasoline"
12/19/2023,12/19/2023,"SAFEWAY #1615 BOULDER CO",12.18,"Supermarkets"
12/20/2023,12/20/2023,"7-ELEVEN 33481 GOLDEN CO",4.54,"Gasoline"
12/20/2023,12/20/2023,"DOMINO'S 6231 BOULDER CO",15.24,"Restaurants"
12/21/2023,12/21/2023,"BARNES & NOBLE 2333 BOULDER CO",41.10,"Merchandise"
12/21/2023,12/21/2023,"SPOTIFY P28253E671 8777781161 NY",16.19,"Merchandise"
12/22/2023,12/22/2023,"SPROUTS FARMERS MARSSS BOULDER CO",12.75,"Supermarkets"
12/24/2023,12/24/2023,"SAFEWAY #1615 BOULDER CO",10.37,"Supermarkets"
12/24/2023,12/24/2023,"SAFEWAY #1615 BOULDER CO",18.50,"Supermarkets"
12/25/2023,12/25/2023,"MASABI RTD 303-299-6000 COPU7K47JMNQLDE4G",10.50,"Travel/ Entertainment"
12/26/2023,12/26/2023,"WALMART SC 02214 COLUMBIA (E) SC",39.79,"Merchandise"
12/26/2023,12/28/2023,"PUBLIX #1856 BOILING SPRINSC",25.00,"Supermarkets"
12/26/2023,12/28/2023,"PUBLIX #597 COLUMBIA SC",11.54,"Supermarkets"
12/27/2023,12/27/2023,"INTEREST CHARGE ON PURCHASES",21.87,"Interest"
12/28/2023,12/28/2023,"AUTOMATIC STATEMENT CREDIT",-12.53,"Awards and Rebate Credits"
12/28/2023,12/28/2023,"INTERNET PAYMENT - THANK YOU",-600.00,"Payments and Credits"
12/31/2023,12/31/2023,"EXXONMOBIL COLUMBIA SC",3.76,"Gasoline"
01/01/2024,01/01/2024,"SAFEWAY #1615 BOULDER CO",11.03,"Supermarkets"
01/02/2024,01/02/2024,"INTERNET PAYMENT - THANK YOU",-710.00,"Payments and Credits"
01/02/2024,01/02/2024,"SAFEWAY #1615 BOULDER CO",12.80,"Supermarkets"
01/03/2024,01/03/2024,"SAFEWAY #1615 BOULDER CO",30.32,"Supermarkets"
01/04/2024,01/04/2024,"CIRCLE K # 44057 BOULDER CO649332",15.64,"Gasoline"
01/04/2024,01/04/2024,"CIRCLE K # 44057 BOULDER CO649331",20.32,"Gasoline"
01/04/2024,01/04/2024,"DOMINO'S 6231 BOULDER CO",20.68,"Restaurants"
01/04/2024,01/04/2024,"SAFEWAY #1615 BOULDER CO",52.66,"Supermarkets"
01/05/2024,01/05/2024,"TARGET 00000646091 BOULDER CO",71.93,"Supermarkets"
01/08/2024,01/08/2024,"SAFEWAY #1615 BOULDER CO",15.24,"Supermarkets"
01/08/2024,01/08/2024,"SAFEWAY #1615 BOULDER CO",27.99,"Supermarkets"
01/10/2024,01/10/2024,"FSP*FLEET FEET BOULDER C BOULDER CO",21.54,"Merchandise"
01/11/2024,01/11/2024,"SAFEWAY #1615 BOULDER CO",38.58,"Supermarkets"
01/12/2024,01/12/2024,"INTERNET PAYMENT - THANK YOU",-346.99,"Payments and Credits"
01/12/2024,01/12/2024,"SAFEWAY #1615 BOULDER CO",30.12,"Supermarkets"
01/15/2024,01/15/2024,"FSP*FLEET FEET BOULDER C BOULDER CO",14.79,"Merchandise"
01/15/2024,01/15/2024,"STEAM PURCHASE 425-952-2985 WA",4.99,"Travel/ Entertainment"
01/15/2024,01/15/2024,"STEAM PURCHASE 425-952-2985 WA",5.99,"Travel/ Entertainment"
01/17/2024,01/17/2024,"CO DRIVER SERVI EMV DENVER CO",32.33,"Government Services"
01/17/2024,01/17/2024,"SAFEWAY #1615 BOULDER CO",68.06,"Supermarkets"
01/17/2024,01/17/2024,"USPS PO 0708830136 BOULDER CO",20.18,"Government Services"
01/21/2024,01/21/2024,"SPOTIFY P28E3CA751 8777781161 NY",16.19,"Merchandise"
01/23/2024,01/23/2024,"BETMGM ONLINE 423-345-1561 NJ",10.00,"Travel/ Entertainment"
01/23/2024,01/23/2024,"COSMOS PIZZA - NORTH BOU BOULDER CO",25.80,"Restaurants"
01/23/2024,01/23/2024,"FSP*FLEET FEET BOULDER C BOULDER CO",15.76,"Merchandise"
01/23/2024,01/23/2024,"VALVE BELLEVUE WA",26.99,"Merchandise"
01/25/2024,01/25/2024,"FEDEX OFFIC00004028069 BOULDER CO",7.50,"Services"
